Name,Color (g-r),g,SpType,ra,dec,coord hms
O-0738133+2130,0.3689999999999998,16.6366,G0 V,114.55552499999999,21.50555611111111,07 38 13.326 +21 30 20.002
O-0738138+2132,0.38759999999999906,17.2157,G0 V,114.55774583333333,21.54831888888889,07 38 13.859 +21 32 53.948
O-0738152+2137,0.3132000000000019,16.442,G0 V,114.56367083333333,21.628078333333335,07 38 15.281 +21 37 41.082
O-0738174+2128,0.3768999999999991,17.1202,G0 V,114.57255416666666,21.475000277777777,07 38 17.413 +21 28 30.001
O-0738246+2134,0.4139000000000017,17.0974,G0 V,114.60281666666666,21.577238055555554,07 38 24.676 +21 34 38.057
O-0738354+2138,0.41469999999999985,17.2887,G0 V,114.64784166666666,21.63843333333333,07 38 35.482 +21 38 18.36
O-0738476+2135,0.3575000000000017,16.6174,G0 V,114.69838333333333,21.596605277777776,07 38 47.612 +21 35 47.779
O-0738027+2130,0.4305000000000021,17.3943,G2 V,114.51148333333333,21.515844444444443,07 38 02.756 +21 30 57.04
O-0738161+2132,0.43900000000000006,17.4739,G2 V,114.56711666666665,21.541870000000003,07 38 16.108 +21 32 30.732
O-0738170+2136,0.42790000000000106,17.4004,G2 V,114.57109583333333,21.606065833333336,07 38 17.063 +21 36 21.837
O-0738224+2136,0.42150000000000176,17.2557,G2 V,114.59358333333331,21.615408055555555,07 38 22.46 +21 36 55.469
O-0738284+2133,0.3985999999999983,17.2379,G2 V,114.61861666666665,21.55805777777778,07 38 28.468 +21 33 29.008
