File,Source,Filter,RA cen,DEC cen
all_phot/w20161011_00296_sf_st_cat.fits,NGC 6811,J,19.6427917,46.6084389
all_phot/w20161011_00333_sf_st_cat.fits,Base,H,19.6427917,46.6084389
all_phot/w20161011_00370_sf_st_cat.fits,Base,K,19.6427917,46.6084389
all_phot/w20161025_01764_sf_st_cat.fits,NGC 2420,J,7.6555583,21.7937194
all_phot/w20161025_01801_sf_st_cat.fits,NGC 2420,H,7.6555583,21.7937194
all_phot/w20161025_01838_sf_st_cat.fits,NGC 2420,K,7.6555583,21.7937194
all_phot/w20161026_01950_sf_st_cat.fits,NGC 2420,J,7.6555583,21.7937194
all_phot/w20161026_01987_sf_st_cat.fits,NGC 2420,H,7.6555583,21.7937194
all_phot/w20161026_02024_sf_st_cat.fits,NGC 2420,K,7.6555583,21.7937194
all_phot/w20161111_01756_sf_st_cat.fits,NGC 2420,J,7.6555583,21.7937194
all_phot/w20161111_01793_sf_st_cat.fits,NGC 2420,H,7.6555583,21.7937194
all_phot/w20161111_01830_sf_st_cat.fits,NGC 2420,K,7.6555583,21.7937194
all_phot/w20161111_01866_sf_st_cat.fits,NGC 2420,K,7.6555583,21.7937194
all_phot/w20161229_01063_sf_st_cat.fits,NGC 2506,J,8.0152333,-10.5493667
all_phot/w20161229_01100_sf_st_cat.fits,NGC 2506,H,8.0152333,-10.5493667
all_phot/w20161229_01136_sf_st_cat.fits,NGC 2506,H,8.0152333,-10.5493667
all_phot/w20161229_01173_sf_st_cat.fits,NGC 2506,K,8.0152333,-10.5493667
all_phot/w20161229_01209_sf_st_cat.fits,NGC 2506,K,8.0152333,-10.5493667
all_phot/w20161229_01245_sf_st_cat.fits,NGC 2506,K,8.0152333,-10.5493667
all_phot/w20161229_01281_sf_st_cat.fits,NGC 2506,K,8.0152333,-10.5493667
